CRN,TITLE,COURSE_NUMBER,SECTION
42775,Intro_Computers/Computing,COSC_100,1
42776,Introduction/Computer_Science,COSC_102,1
42777,Introduction/Computer_Science,COSC_102,2
42778,Introduction/Computer_Science,COSC_102,3
42779,Introduction/Computer_Science,COSC_102,4
42780,Introduction/Computer_Science,COSC_102,5
46095,Introduction/Computer_Science,COSC_102,6
46665,Introduction/Computer_Science,COSC_102,7
46666,Introduction/Computer_Science,COSC_102,8
46682,Introduction/Computer_Science,COSC_102,9
46688,Introduction/Computer_Science,COSC_102,10
48924,Computer_Organization,COSC_130,1
48925,Computer_Organization,COSC_130,2
48926,Computer_Organization,COSC_130,3
48928,Computer_Organization,COSC_130,4
42781,Data_Structures/Algorithms_I,COSC_140,1
42782,Data_Structures/Algorithms_I,COSC_140,2
44988,Data_Structures/Algorithms_I,COSC_140,3
42783,Data_Structures/Algorithms_II,COSC_302,1
42784,Data_Structures/Algorithms_II,COSC_302,2
48296,Data_Structures/Algorithms_II,COSC_302,3
48669,Hon:_Data_Struct/Algorithms_II,COSC_307,1
49114,Hon:_Data_Struct/Algorithms_II,COSC_307,2
49852,Hon:_Data_Struct/Algorithms_II,COSC_307,3
42785,Discrete_Structures,COSC_311,1
47875,Algorithm_Analysis/Automata,COSC_312,1
47783,Honors:_Discrete_Structures,COSC_317,1
50657,Software_Engineering,COSC_340,1
42786,Systems_Programming,COSC_360,1
45591,Systems_Programming,COSC_360,2
52094,Systems_Programming,COSC_360,3
49851,Operating_Systems,COSC_361,1
52760,Introduction_to_Cybersecurity,COSC_366,1
52755,Junior_Seminar,COSC_395,1
47181,Senior_Design_Theory,COSC_401,1
44993,Intro/Machine_Learning,COSC_425,1
48921,Fund_of_Digital_Archeology,COSC_445,1
46486,Compilers,COSC_461,1
45592,Parallel_Programming,COSC_462,1
45595,Numerical_Analysis,COSC_471,2
49101,Applied_Cryptography,COSC_483,1
42789,Unconventional_Computation,COSC_494,1
42790,Human-Factors_in_Comp.Security,COSC_494,2
42791,Adv._Algorithm_&_Programming,COSC_494,3
47275,Bioinformatics,COSC_494,4
47896,Special_Topics,COSC_494,5
52069,Special_Topics,COSC_494,6
42792,Thesis,COSC_500,1
42793,Thesis,COSC_500,2
42794,Thesis,COSC_500,3
42795,Thesis,COSC_500,4
42796,Thesis,COSC_500,5
42797,Thesis,COSC_500,6
42798,Thesis,COSC_500,7
42799,Thesis,COSC_500,8
42800,Thesis,COSC_500,9
42801,Thesis,COSC_500,10
42802,Thesis,COSC_500,11
42803,Thesis,COSC_500,12
42804,Thesis,COSC_500,13
42805,Thesis,COSC_500,14
42806,Thesis,COSC_500,15
42807,Thesis,COSC_500,16
42808,Thesis,COSC_500,17
45001,Thesis,COSC_500,18
45004,Thesis,COSC_500,19
52097,Thesis,COSC_500,20
42811,Registration/Use_of_Facilities,COSC_502,1
52852,Machine_Learning,COSC_522,1
45017,Computer_Systems_Organization,COSC_530,1
48923,Fndamntls_of_Digital_Archeolgy,COSC_545,1
41357,Numerical_Mathematics_I,COSC_571,1
45023,Foundations,COSC_580,1
49102,Applied_Cryptography,COSC_583,1
42813,Independent_Study,COSC_593,1
42816,Unconventional_Computation,COSC_594,1
42817,Human-Factors_in_Comp.Security,COSC_594,2
50223,Adv._Algorithm_&_Programming,COSC_594,3
52068,Bioinformatics,COSC_594,4
52067,Special_Topics,COSC_594,5
46143,Special_Topics,COSC_594,6
48476,Special_Topics,COSC_594,7
52345,Special_Topics,COSC_594,9
42818,Doctoral_Research/Dissertation,COSC_600,1
42819,Doctoral_Research/Dissertation,COSC_600,2
42820,Doctoral_Research/Dissertation,COSC_600,3
42821,Doctoral_Research/Dissertation,COSC_600,4
42822,Doctoral_Research/Dissertation,COSC_600,5
42823,Doctoral_Research/Dissertation,COSC_600,6
42824,Doctoral_Research/Dissertation,COSC_600,7
42825,Doctoral_Research/Dissertation,COSC_600,8
42826,Doctoral_Research/Dissertation,COSC_600,9
42827,Doctoral_Research/Dissertation,COSC_600,10
42828,Doctoral_Research/Dissertation,COSC_600,11
42829,Doctoral_Research/Dissertation,COSC_600,12
42830,Doctoral_Research/Dissertation,COSC_600,13
42831,Doctoral_Research/Dissertation,COSC_600,14
42832,Doctoral_Research/Dissertation,COSC_600,15
42833,Doctoral_Research/Dissertation,COSC_600,16
42834,Doctoral_Research/Dissertation,COSC_600,17
45597,Doctoral_Research/Dissertation,COSC_600,18
46130,Doctoral_Research/Dissertation,COSC_600,19
46729,Doctoral_Research/Dissertation,COSC_600,20
